,Product Name,Price,Quantity,Discount,Prize badge,Product Link,Product pid
1782,Quinta das Lamelas Moscatel do Douro,13.49,garrafa 50 cl,n/a,premiado,https://www.continente.pt/produto/quinta-das-lamelas-moscatel-do-douro-quinta-das-lamelas-7696024.html,7696024
1783,Herédias Vinha do Reino Douro Vinho Tinto,5.69,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/heredias-vinha-do-reino-douro-vinho-tinto-heredias-7770238.html,7770238
1784,Curvos Sauvignon Blanc Minho Vinho Branco,9.09,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/curvos-sauvignon-blanc-minho-vinho-branco-curvos-7769341.html,7769341
1785,Herdade Papa Leite B51 Alentejo Vinho Branco,57.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/herdade-papa-leite-b51-alentejo-vinho-branco-herdade-papa-leite-7771196.html,7771196
1786,Herdade Aldeia de Cima Reserva Alentejo Vinho Branco,20.79,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/herdade-aldeia-de-cima-reserva-alentejo-vinho-branco-herdade-aldeia-de-cima-7695867.html,7695867
1787,Raposinha Alentejo Vinho Branco,7.29,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/raposinha-alentejo-vinho-branco-monte-da-raposinha-7771178.html,7771178
1788,Quinta do Pessegueiro Douro Vinho Tinto,32.70,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-do-pessegueiro-douro-vinho-tinto-quinta-do-pessegueiro-7770425.html,7770425
1789,Humilitas Syrah Reserva Alentejo Vinho Tinto,106.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/humilitas-syrah-reserva-alentejo-vinho-tinto-humilitas-7771063.html,7771063
1790,Niepoort Voyeur Mulato Douro Vinho Tinto,21.15,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/niepoort-voyeur-mulato-douro-vinho-tinto-niepoort-7695152.html,7695152
1791,Quinta de Alderiz Adoraz Monção e Melgaço Vinho Verde Branco,5.69,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-de-alderiz-adoraz-moncao-e-melgaco-vinho-verde-branco-quinta-de-alderiz-7769382.html,7769382
